scenario,policy,n,on_time_pct,on_time_ci,p95_lateness_s,p95_lateness_ci,throughput_per_hour,throughput_ci
standard_tight,nearest_robot,8,97.87,2.41,7.54,11.55,67.0,13.01
standard_tight,least_busy,8,81.48,11.49,47.9,28.53,65.5,11.67
standard_tight,round_robin,8,98.21,2.85,1.38,2.62,66.0,13.96
standard_tight,auction,8,97.87,2.41,7.54,11.55,67.0,13.01
standard_tight,ppo_sparse,3,88.02,24.11,27.01,48.92,65.33,3.58
standard_tight,ppo_dense,3,84.62,12.89,35.58,28.2,65.0,1.24
standard_tight,ppo_attribution,3,96.37,5.5,10.08,5.85,66.0,1.24
standard_tight,ppo_routed,3,96.86,4.23,8.38,2.61,66.17,0.72
standard_mod,nearest_robot,8,100.0,0.0,0.0,0.0,67.0,13.01
standard_mod,least_busy,8,97.46,3.06,9.32,11.08,65.5,11.67
standard_mod,round_robin,8,100.0,0.0,0.0,0.0,66.0,13.96
standard_mod,auction,8,100.0,0.0,0.0,0.0,67.0,13.01
standard_mod,ppo_sparse,3,99.81,0.81,0.57,2.45,65.83,0.72
standard_mod,ppo_dense,3,99.36,2.74,2.13,9.15,65.83,1.9
standard_mod,ppo_attribution,3,100.0,0.0,0.0,0.0,66.67,1.43
standard_mod,ppo_routed,3,98.24,4.24,6.05,14.64,64.17,6.84
peak_tight,nearest_robot,8,97.91,3.05,7.37,10.67,201.25,20.2
peak_tight,least_busy,8,94.54,5.73,17.33,15.57,195.62,15.95
peak_tight,round_robin,8,100.0,0.0,0.0,0.0,208.75,20.62
peak_tight,auction,8,97.91,3.05,7.37,10.67,201.25,20.2
peak_tight,ppo_sparse,3,94.7,4.56,16.11,16.2,198.96,9.09
peak_tight,ppo_dense,3,99.14,2.66,3.01,6.75,201.67,7.0
peak_tight,ppo_attribution,3,95.64,7.7,14.5,19.97,196.88,8.21
peak_tight,ppo_routed,3,94.66,5.94,16.24,11.59,199.38,8.64
